# Time-averaged data for fix sxx
# TimeStep v_s1
10000 0.76923
20000 1.97962
30000 3.04415
40000 4.01178
50000 4.86306
60000 5.63998
70000 6.40302
80000 7.06553
90000 7.64618
100000 8.18158
110000 8.69432
120000 9.15356
130000 9.59455
140000 10.0173
150000 10.35
160000 10.7168
170000 11.0094
180000 11.2386
190000 11.4706
200000 11.6247
210000 11.845
220000 11.9935
230000 12.1182
240000 12.2653
250000 12.3717
260000 12.4413
270000 12.5851
280000 12.6773
290000 12.7611
300000 12.8445
310000 12.9558
320000 12.9918
330000 13.0841
340000 13.1621
350000 13.0467
360000 -0.62479
370000 -2.77058
380000 -2.66465
390000 -2.54329
400000 -1.73401
