# Time-averaged data for fix sxy
# TimeStep v_s4
10000 -0.0119175
20000 -0.0144984
30000 -0.0126433
40000 0.00200833
50000 0.011429
60000 0.0145548
70000 0.035017
80000 0.0381939
90000 0.0329715
100000 0.0385754
110000 0.0512907
120000 0.0597021
130000 0.0587736
140000 0.0521615
150000 0.0554738
160000 0.0519498
170000 0.0363507
180000 0.033635
190000 0.0396993
200000 0.0393743
210000 0.042403
220000 0.0441596
230000 0.0463986
240000 0.0571412
250000 0.0651484
260000 0.0638832
270000 0.0605321
280000 0.0635081
290000 0.0393683
300000 0.0492433
310000 0.0637967
320000 0.0763739
330000 0.0608838
340000 0.0273415
350000 0.0267301
360000 -0.505392
370000 -0.380564
380000 -0.15027
390000 -0.0221059
400000 0.200568
