# Time-averaged data for fix sxz
# TimeStep v_s5
10000 -0.0299618
20000 -0.0232887
30000 -0.00520088
40000 -0.00116291
50000 -0.00351971
60000 -0.00602493
70000 -0.0236678
80000 -0.0162057
90000 -0.0163963
100000 -0.0174394
110000 -0.00850955
120000 -0.0154161
130000 -0.0173031
140000 -0.00610972
150000 -0.00833491
160000 -0.00626033
170000 0.000231827
180000 0.0209576
190000 0.0320459
200000 0.0266346
210000 0.0166966
220000 0.00775994
230000 0.00763845
240000 0.0140951
250000 0.0276835
260000 0.0243823
270000 0.0165067
280000 0.0199676
290000 0.0239187
300000 0.0335346
310000 0.0256705
320000 0.0155794
330000 -0.00447394
340000 0.00773208
350000 0.0391751
360000 0.487958
370000 0.0710816
380000 -1.024
390000 0.784992
400000 0.207787
