# Time-averaged data for fix syy
# TimeStep v_s2
10000 0.311146
20000 1.07495
30000 1.80566
40000 2.50041
50000 3.17858
60000 3.86741
70000 4.45233
80000 5.04967
90000 5.58662
100000 6.10593
110000 6.59459
120000 7.071
130000 7.44799
140000 7.81859
150000 8.16012
160000 8.39846
170000 8.6607
180000 8.88835
190000 9.085
200000 9.25923
210000 9.33394
220000 9.49943
230000 9.65684
240000 9.7797
250000 9.84842
260000 9.93159
270000 10.0023
280000 10.0884
290000 10.1326
300000 10.1905
310000 10.265
320000 10.2759
330000 10.3084
340000 10.344
350000 10.3214
360000 -0.463254
370000 -2.05869
380000 -1.42149
390000 -1.91793
400000 -0.703874
