# Time-averaged data for fix syz
# TimeStep v_s6
10000 -0.0672887
20000 -0.0674255
30000 -0.0615539
40000 -0.064575
50000 -0.051566
60000 -0.0400335
70000 -0.0263087
80000 -0.00901993
90000 -0.0087915
100000 -0.00201004
110000 -0.0103184
120000 -0.00392532
130000 0.000265932
140000 -0.0126181
150000 -0.0146214
160000 -0.0117421
170000 -0.0149023
180000 -0.0148151
190000 -0.0328644
200000 -0.00389733
210000 0.0138045
220000 0.0391301
230000 0.0431993
240000 0.0460212
250000 0.0608931
260000 0.0391911
270000 0.0190063
280000 0.0141416
290000 0.00436736
300000 -0.0347133
310000 -0.0412741
320000 -0.0575994
330000 -0.0637569
340000 -0.082825
350000 -0.111875
360000 0.469367
370000 -0.371287
380000 0.608004
390000 0.386033
400000 -0.18427
