# Time-averaged data for fix szz
# TimeStep v_s3
10000 0.380094
20000 1.12073
30000 1.86744
40000 2.56285
50000 3.25537
60000 3.88404
70000 4.50443
80000 5.09169
90000 5.66813
100000 6.19792
110000 6.70146
120000 7.11395
130000 7.51818
140000 7.87283
150000 8.20296
160000 8.49
170000 8.77191
180000 8.97571
190000 9.1466
200000 9.30215
210000 9.44669
220000 9.56575
230000 9.70955
240000 9.84222
250000 9.95422
260000 10.0527
270000 10.1015
280000 10.1583
290000 10.1769
300000 10.2536
310000 10.3054
320000 10.3472
330000 10.3907
340000 10.4374
350000 10.3839
360000 -0.60756
370000 -2.45696
380000 -1.0639
390000 -2.09732
400000 -1.17576
